                                                         ________________________________________________________________________________
                                                         |  SL   |     Country Name	  |     Total Deaths     |    Total Infected    |
                                                         |_______|________________________|______________________|______________________|
                                                         |  01   |     South Africa       |      1,786,079	 |        58,323	|       
                                                         |_______|________________________|______________________|______________________|
                                                         |  02	 |     Morocco		  |	     9,225       |       525,443        |             
                                                         |_______|________________________|______________________|______________________|
                                                         |  03	 |     Tunisia	          |	    13,792	 |       376,691	|        
                                                         |_______|________________________|______________________|______________________|
                                                         |  04	 |     Egypt	          | 	    15,760       |       275,601	|	
                                                         |_______|________________________|______________________|______________________|
                                                         |  05	 |     Ethiopia           |          4,262       |       274,775	|        
                                                         |_______|________________________|______________________|______________________|
                                                         |  06	 |     Libya	          |          3,170	 |	 190,146	|
                                                         |_______|________________________|______________________|______________________|
                                                         |  07	 |     Kenya		  |	     3,434	 |       177,282        |       
                                                         |_______|________________________|______________________|______________________|
                                                         |  08	 |     Nigeria	          | 	     2,117	 |       167,142	|	
                                                         |_______|________________________|______________________|______________________|
                                                         |  09	 |     Algeria            |	     3,605	 |       134,840	|	        
                                                         |_______|________________________|______________________|______________________|
                                                         |  10   |     Zambia             |          1,525       |       122,244        |                       
                                                         |_______|________________________|______________________|______________________|
                                                         |  11	 |     Ghana		  |	       790	 |        94,824        |     
                                                         |_______|________________________|______________________|______________________|
                                                         |  12	 |     Cameroon           |	     1,313	 |        80,328	|        
                                                         |_______|________________________|______________________|______________________|
                                                         |  13	 |     Mozambique         |   	       844	 |        71,929	|        
                                                         |_______|________________________|______________________|______________________|
                                                         |  14	 |     Namibia        	  |	     1,107	 |	  70,112        |
                                                         |_______|________________________|______________________|______________________|
                                                         |  15	 |     Uganda        	  |	       542	 |	  67,215	|
                                                         |_______|________________________|______________________|______________________|
                                                         |  16	 |     Botswana	          |	       940       |        63,247        |            
                                                         |_______|________________________|______________________|______________________|
                                                         |  17	 |     Ivory Coast        |    	       306	 |        47,973	|        
                                                         |_______|________________________|______________________|______________________|
